5,10,1
6,9,1
6,10,1
7,8,1
7,9,1
7,10,1
8,7,1
8,8,1
8,9,1
8,10,1
9,7,1
9,8,1
9,9,1
9,10,1
10,8,1
10,9,1
10,10,1
11,8,1
11,9,1
11,10,1
12,8,1
12,9,1
12,10,1
12,7,3
12,6,3
12,5,3
12,1,4
13,8,1
13,9,1
13,10,1
14,8,1
14,9,1
14,10,1
15,8,1
15,9,1
15,10,1
16,7,1
16,8,1
16,9,1
16,10,1
17,7,1
17,8,1
17,9,1
17,10,1
18,7,1
18,8,1
18,9,1
18,10,1
19,8,1
19,9,1
19,10,1
20,9,1
20,10,1
21,9,1
21,10,1
25,9,1
26,9,1
27,9,1
27,7,1
28,7,1
29,5,1
30,5,1
30,4,9
31,5,1
32,7,1
33,7,1
33,9,1
34,9,1
35,9,1
40,10,1
41,9,1
41,10,1
42,8,1
42,9,1
42,10,1
43,8,1
43,9,3
43,10,3
44,8,1
44,9,3
44,10,3
45,8,1
45,9,3
45,10,3
46,8,1
46,9,3
46,10,3
54,10,10
54,9,3
54,8,3
57,7,3
55,10,1
55,9,1
55,8,1
56,10,1
56,9,1
56,8,1
56,7,10
56,6,3
56,5,3
56,4,3
57,10,1
57,9,1
57,8,1
57,7,1
57,6,1
57,5,1
58,10,1
58,9,1
58,8,1
58,7,1
58,6,1
58,5,1
58,4,10
58,3,3
58,2,3
58,1,3
59,10,1
59,9,1
59,8,1
59,7,1
59,6,1
59,5,1
59,4,1
59,3,1
59,2,1
70,11,12
70,1,1
70,9,8
71,11,12
71,1,1
71,4,8
72,11,12
72,1,1
72,5,8
73,10,1
74,10,1
75,10,1
76,10,1
77,10,1
78,10,1
79,11,12
80,11,12
80,1,1
80,2,8
81,11,12
82,11,12
82,1,1
82,3,8
83,10,1
84,10,1
84,9,1
85,10,1
85,9,1
85,8,1
86,10,1
86,9,1
86,8,1
86,7,1
90,8,3
90,9,3
91,7,3
91,8,3
91,9,3
91,10,3
92,7,3
92,8,3
92,9,3
92,10,3
93,7,3
93,8,3
93,9,3
93,10,3
94,8,3
94,9,3
100,10,2
