2,8,1
2,7,1
2,6,1
2,5,1
2,4,1
2,3,1
2,9,1
2,10,1
5,8,1
5,7,1
5,6,1
5,5,1
5,4,1
5,3,1
5,9,1
5,10,1
8,8,1
8,7,1
8,6,1
8,5,1
8,4,1
8,3,1
8,9,1
8,10,1
40,10,2
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,3,1
15,3,1
18,3,1
18,4,1
18,5,1
18,6,1
17,6,1
16,6,1
15,6,1
3,10,10
4,10,10
6,10,10
7,10,10
11,10,10
12,10,10
15,7,1
15,8,1
18,2,1
18,1,1
17,5,4
16,8,1
17,8,1
18,8,1
19,8,1
20,8,1
21,8,1
22,8,1
22,7,1
22,6,1
22,5,1
22,4,1
22,3,1
22,2,1
22,1,1
22,0,1
23,2,1
23,5,1
25,6,1
25,3,1
26,10,1
26,9,1
26,8,1
26,7,1
26,6,1
26,5,1
26,4,1
26,3,1
26,2,1
27,2,1
25,9,1
23,8,1
28,2,1
29,2,1
30,10,10
31,10,10
29,3,1
29,4,1
29,5,1
29,6,1
29,7,1
29,8,1
29,9,1
29,10,1
32,10,1
32,9,1
32,8,1
33,10,10
34,10,10
35,10,1
35,9,1
35,8,1
